IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.106.54,4,4,0.00,3.89,0.00
104.16.113.253,4,4,0.00,4.02,0.00
172.65.90.18,4,4,0.00,4.02,0.00
104.16.111.178,4,4,0.00,4.10,0.00
104.16.110.51,4,4,0.00,4.25,0.00
104.16.107.70,4,4,0.00,4.29,0.00
104.16.103.136,4,4,0.00,4.82,0.00
104.21.226.99,4,4,0.00,113.49,0.00
104.21.229.186,4,4,0.00,116.06,0.00
104.21.239.138,4,4,0.00,127.06,0.00
162.159.160.22,4,4,0.00,149.55,0.00
104.21.233.123,4,4,0.00,154.25,0.00
198.41.219.14,4,4,0.00,180.13,0.00
198.41.218.237,4,4,0.00,201.15,0.00
162.159.239.136,4,4,0.00,206.00,0.00
